groups,beta,chi,exploration,initial,local_eigenvalue,max_share,hhi,residual_inf
4,8,0.5,0.3,near_uniform,-0.30000000000000004,0.2500000000000062,0.24999999999999933,1.6653345369377348e-15
4,8,0.5,0.3,concentrated,-0.30000000000000004,0.25000000000000755,0.2499999999999986,1.7763568394002505e-15
4,12,0.5,0.3,near_uniform,0.04999999999999982,0.7337890911642408,0.5620691796393619,5.995204332975845e-15
4,12,0.5,0.3,concentrated,0.04999999999999982,0.7337890911642518,0.5620691796393774,2.1094237467877974e-15
4,20,0.5,0.3,near_uniform,0.75,0.7730398443525875,0.6147609050405052,2.55351295663786e-15
4,20,0.5,0.3,concentrated,0.75,0.773039844352593,0.6147609050405128,2.4424906541753444e-15
4,1,1,0,near_uniform,-0.75,0.25000000000000205,0.25,1.5543122344752192e-15
4,1,1,0,concentrated,-0.75,0.25000000000000205,0.25,1.5543122344752192e-15
4,2,1,0,near_uniform,-0.5,0.25000000000000344,0.24999999999999864,1.3877787807814457e-15
4,2,1,0,concentrated,-0.5,0.25000000000000344,0.24999999999999864,1.3877787807814457e-15
4,3,1,0,near_uniform,-0.25,0.2500000000000076,0.24999999999999864,1.3877787807814457e-15
4,3,1,0,concentrated,-0.25,0.2500000000000076,0.24999999999999864,1.3877787807814457e-15
4,4,1,0,near_uniform,0.0,0.2513871622277773,0.2500028109055972,2.440968892514217e-06
4,4,1,0,concentrated,0.0,0.9237834942713872,0.8553122628700804,3.3306690738754696e-15
4,6,1,0,near_uniform,0.5,0.9921435762471584,0.984369450353229,2.220446049250313e-15
4,6,1,0,concentrated,0.5,0.9921435762471584,0.984369450353229,2.220446049250313e-15
4,8,1,0,near_uniform,1.0,0.9989836766977254,0.9979687306128572,6.106226635438361e-15
4,8,1,0,concentrated,1.0,0.9989836766977254,0.9979687306128572,6.106226635438361e-15
4,12,1,0,near_uniform,2.0,0.9999815622643924,0.9999631249820515,4.3298697960381105e-15
4,12,1,0,concentrated,2.0,0.9999815622643924,0.9999631249820515,4.3298697960381105e-15
4,20,1,0,near_uniform,4.0,0.9999999938165325,0.999999987633065,5.773159728050814e-15
4,20,1,0,concentrated,4.0,0.9999999938165325,0.999999987633065,5.773159728050814e-15
4,1,1,0.1,near_uniform,-0.775,0.25000000000000205,0.25,1.609823385706477e-15
4,1,1,0.1,concentrated,-0.775,0.25000000000000205,0.25,1.609823385706477e-15
4,2,1,0.1,near_uniform,-0.55,0.25000000000000344,0.24999999999999864,1.5543122344752192e-15
4,2,1,0.1,concentrated,-0.55,0.25000000000000344,0.24999999999999864,1.5543122344752192e-15
4,3,1,0.1,near_uniform,-0.32499999999999996,0.2500000000000062,0.24999999999999933,1.7763568394002505e-15
4,3,1,0.1,concentrated,-0.32499999999999996,0.25000000000000483,0.24999999999999933,1.3322676295501878e-15
4,4,1,0.1,near_uniform,-0.09999999999999998,0.2500000000000424,0.24999999999999864,3.858025010572419e-15
4,4,1,0.1,concentrated,-0.09999999999999998,0.802519861276437,0.6570375961399112,2.886579864025407e-15
4,6,1,0.1,near_uniform,0.3500000000000001,0.9116301964522919,0.8336726891433309,5.773159728050814e-15
4,6,1,0.1,concentrated,0.3500000000000001,0.9116301964522919,0.8336726891433309,5.773159728050814e-15
4,8,1,0.1,near_uniform,0.8,0.9229442342147252,0.8538052564837904,2.55351295663786e-15
4,8,1,0.1,concentrated,0.8,0.9229442342147252,0.8538052564837904,2.55351295663786e-15
4,12,1,0.1,near_uniform,1.7000000000000002,0.9249448761174415,0.8574007810629178,2.886579864025407e-15
4,12,1,0.1,concentrated,1.7000000000000002,0.9249448761174415,0.8574007810629178,2.886579864025407e-15
4,20,1,0.1,near_uniform,3.5,0.9249999588790101,0.8574999259822204,1.6653345369377348e-15
4,20,1,0.1,concentrated,3.5,0.9249999588790101,0.8574999259822204,1.6653345369377348e-15
4,1,1,0.3,near_uniform,-0.825,0.25000000000000205,0.25,1.7208456881689926e-15
4,1,1,0.3,concentrated,-0.825,0.25000000000000205,0.25,1.7208456881689926e-15
4,2,1,0.3,near_uniform,-0.65,0.25000000000000205,0.24999999999999933,1.4432899320127035e-15
4,2,1,0.3,concentrated,-0.65,0.25000000000000205,0.25,1.3877787807814457e-15
4,3,1,0.3,near_uniform,-0.4750000000000001,0.25000000000000344,0.24999999999999864,1.27675647831893e-15
4,3,1,0.3,concentrated,-0.4750000000000001,0.25000000000000344,0.24999999999999864,1.27675647831893e-15
4,4,1,0.3,near_uniform,-0.30000000000000004,0.2500000000000062,0.24999999999999933,1.6653345369377348e-15
4,4,1,0.3,concentrated,-0.30000000000000004,0.25000000000000755,0.2499999999999986,1.7763568394002505e-15
4,6,1,0.3,near_uniform,0.04999999999999982,0.7337890911642408,0.5620691796393619,5.995204332975845e-15
4,6,1,0.3,concentrated,0.04999999999999982,0.7337890911642518,0.5620691796393774,2.1094237467877974e-15
4,8,1,0.3,near_uniform,0.3999999999999999,0.7666092059659423,0.6058467622516814,3.4416913763379853e-15
4,8,1,0.3,concentrated,0.3999999999999999,0.7666092059659477,0.6058467622516894,1.5543122344752192e-15
