regime,seed,policy,offered,completed,completion_coverage,correct_checks_per_offer,defect_detection_fraction,accuracy_among_completed,attention_hhi,largest_attention_share,minimum_group_coverage,unresolved_offers,repair_backlog,labor,mean_queue_age,coverage_0,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,count_correct_checks,count_incorrect_checks,count_defects_offered,count_defects_detected,count_false_alarms,count_audit_detected_defects,count_audited,count_repair_completed,count_audit_missed_capacity,count_refused_capacity,count_invitations,count_checks,count_intake_labor,count_check_labor,count_audit_labor,count_repair_labor,count_blind_periods
overload,1,uniform,686,514,0.749271137026239,0.6807580174927114,0.6410256410256411,0.9085603112840467,0.18752744174779332,0.28793774319066145,0.5421245421245421,172,22,10369,17.156976744186046,0.5421245421245421,0.7122302158273381,0.9848484848484849,1.0,1.0,0.9154929577464789,467,47,117,70,36,5,105,89,32,7631,1462,514,2924,5140,525,1780,5
overload,2,prestige,676,515,0.7618343195266272,0.7011834319526628,0.7377049180327869,0.920388349514563,0.31293807144876984,0.5087378640776699,0.5625,161,33,10378,14.279503105590063,0.9424460431654677,0.6439393939393939,0.6956521739130435,0.6417910447761194,0.6212121212121212,0.5625,474,41,122,88,29,2,98,86,53,6584,1509,515,3018,5150,490,1720,2
overload,2,bounded,676,508,0.7514792899408284,0.6878698224852071,0.6639344262295082,0.9153543307086615,0.21393917787835576,0.3464566929133858,0.6330935251798561,168,23,10377,12.452380952380953,0.6330935251798561,0.8106060606060606,0.927536231884058,0.8507462686567164,0.8484848484848485,0.75,465,43,122,76,29,5,111,87,38,6828,1501,508,3002,5080,555,1740,2
overload,2,uniform,676,501,0.7411242603550295,0.6775147928994083,0.6229508196721312,0.9141716566866267,0.1818120246532882,0.25149700598802394,0.45323741007194246,175,16,10375,20.0,0.45323741007194246,0.8409090909090909,0.9855072463768116,1.0,1.0,0.984375,458,43,122,75,34,1,113,94,42,7421,1460,501,2920,5010,565,1880,2
overload,3,prestige,684,523,0.7646198830409356,0.6754385964912281,0.672566371681416,0.8833652007648184,0.2938079691732869,0.4837476099426386,0.5714285714285714,161,33,10386,13.900621118012422,0.9405204460966543,0.6453900709219859,0.7183098591549296,0.6231884057971014,0.703125,0.5714285714285714,462,61,113,73,40,3,94,83,44,6674,1513,523,3026,5230,470,1660,6
overload,3,bounded,684,498,0.7280701754385965,0.6578947368421053,0.7345132743362832,0.9036144578313253,0.19928710827244717,0.3152610441767068,0.5836431226765799,186,22,10397,14.53225806451613,0.5836431226765799,0.7163120567375887,1.0,0.782608695652174,0.921875,0.8,450,48,113,78,36,5,99,97,30,7510,1491,498,2982,4980,495,1940,6
overload,3,uniform,684,505,0.7383040935672515,0.6652046783625731,0.6460176991150443,0.900990099009901,0.18139790216645427,0.2495049504950495,0.4684014869888476,179,17,10373,18.731843575418996,0.4684014869888476,0.7943262411347518,0.9859154929577465,0.9565217391304348,1.0,0.9571428571428572,455,50,113,70,37,3,101,93,28,7079,1479,505,2958,5050,505,1860,6
overload,4,prestige,692,516,0.7456647398843931,0.6893063583815029,0.6915887850467289,0.9244186046511628,0.2982092422330388,0.4883720930232558,0.5555555555555556,176,27,10372,14.738636363636363,0.9163636363636364,0.6666666666666666,0.6388888888888888,0.5882352941176471,0.6865671641791045,0.5555555555555556,477,39,107,72,33,2,116,80,49,7616,1516,516,3032,5160,580,1600,2
overload,4,bounded,692,525,0.7586705202312138,0.6979768786127167,0.6261682242990654,0.92,0.2193233560090703,0.36,0.6764705882352942,167,20,10356,12.8562874251497,0.6872727272727273,0.7536231884057971,0.9861111111111112,0.6764705882352942,0.9850746268656716,0.6805555555555556,483,42,107,63,33,4,122,80,47,7477,1448,525,2896,5250,610,1600,2
overload,4,uniform,692,518,0.7485549132947977,0.6907514450867052,0.5794392523364486,0.9227799227799228,0.18205602182436156,0.25868725868725867,0.48727272727272725,174,7,10402,18.660919540229884,0.48727272727272725,0.7971014492753623,1.0,1.0,0.9701492537313433,0.9583333333333334,478,40,107,59,30,3,110,85,54,7318,1486,518,2972,5180,550,1700,2
overload,5,prestige,686,514,0.749271137026239,0.6865889212827988,0.7086614173228346,0.9163424124513618,0.30330512195491227,0.49221789883268485,0.44776119402985076,172,31,10432,14.895348837209303,0.9301470588235294,0.6737588652482269,0.6865671641791045,0.5942028985507246,0.7,0.44776119402985076,471,43,127,87,32,3,108,91,31,7362,1466,514,2932,5140,540,1820,4
overload,5,bounded,686,493,0.7186588921282799,0.6559766763848397,0.6377952755905512,0.9127789046653144,0.20774000304465357,0.3367139959432049,0.5970149253731343,193,15,10405,15.295336787564766,0.6102941176470589,0.6666666666666666,1.0,0.8260869565217391,0.9857142857142858,0.5970149253731343,450,43,127,78,34,3,113,100,40,7912,1455,493,2910,4930,565,2000,4
overload,5,uniform,686,508,0.7405247813411079,0.673469387755102,0.6141732283464567,0.9094488188976378,0.18055986111972225,0.25,0.46691176470588236,178,15,10395,19.646067415730336,0.46691176470588236,0.7801418439716312,1.0,1.0,0.9857142857142858,0.9850746268656716,462,46,127,73,34,5,109,97,38,7697,1415,508,2830,5080,545,1940,4
overload,6,prestige,671,530,0.789865871833085,0.713859910581222,0.6206896551724138,0.9037735849056604,0.31096475614097546,0.5075471698113208,0.6212121212121212,141,31,10418,13.964539007092199,0.9781818181818182,0.6589147286821705,0.6212121212121212,0.6923076923076923,0.6714285714285714,0.6515151515151515,479,51,116,71,32,1,114,73,47,5781,1544,530,3088,5300,570,1460,6
overload,6,bounded,671,520,0.7749627421758569,0.7108792846497765,0.6293103448275862,0.9173076923076923,0.2068047337278106,0.3346153846153846,0.6327272727272727,151,21,10413,13.006622516556291,0.6327272727272727,0.7984496124031008,0.9696969696969697,0.7230769230769231,0.9857142857142858,0.9545454545454546,477,43,116,71,33,2,107,85,35,6110,1489,520,2978,5200,535,1700,6
