scenario,hours,seed,policy,true_avoided_loss,paired_gain_vs_uniform,regret_vs_latent_oracle,lots_at_least_quarter_hour,underserved_hours,irreducible_floor
noise_05,20,2,latent_oracle,42.97657254966786,20.842663548649856,0.0,16,4.921221116983523,13.660065211578043
noise_05,80,2,uniform,64.97022555588605,0.0,18.834322852514546,80,20.0,13.660065211578043
noise_05,80,2,estimated_waterfill,79.76854268116438,14.79831712527833,4.0360057272362155,55,20.425655627136834,13.660065211578043
noise_05,80,2,reserve_20,78.60656558755694,13.636340031670898,5.197982820843649,60,26.357831336855302,13.660065211578043
noise_05,80,2,latent_oracle,83.80454840840059,18.834322852514546,0.0,51,21.732700813569203,13.660065211578043
noise_10,20,2,uniform,22.133909001018,0.0,20.842663548649856,80,5.0,13.660065211578043
noise_10,20,2,estimated_waterfill,29.590821023533884,7.456912022515883,13.385751526133973,18,6.84681603072139,13.660065211578043
noise_10,20,2,reserve_20,28.348048033223364,6.214139032205363,14.628524516444493,15,9.368362586550148,13.660065211578043
noise_10,20,2,latent_oracle,42.97657254966786,20.842663548649856,0.0,16,4.921221116983523,13.660065211578043
noise_10,80,2,uniform,64.97022555588605,0.0,18.834322852514546,80,20.0,13.660065211578043
noise_10,80,2,estimated_waterfill,64.95734393754672,-0.012881618339321221,18.847204470853868,47,18.41321191216288,13.660065211578043
noise_10,80,2,reserve_20,67.67904961567454,2.7088240597884976,16.12549879272605,56,26.491169738460897,13.660065211578043
noise_10,80,2,latent_oracle,83.80454840840059,18.834322852514546,0.0,51,21.732700813569203,13.660065211578043
noise_20,20,2,uniform,22.133909001018,0.0,20.842663548649856,80,5.0,13.660065211578043
noise_20,20,2,estimated_waterfill,20.603495808487185,-1.5304131925308155,22.37307674118067,14,7.418700191368004,13.660065211578043
noise_20,20,2,reserve_20,19.818073087247644,-2.315835913770357,23.158499462420213,12,10.290839350118954,13.660065211578043
noise_20,20,2,latent_oracle,42.97657254966786,20.842663548649856,0.0,16,4.921221116983523,13.660065211578043
noise_20,80,2,uniform,64.97022555588605,0.0,18.834322852514546,80,20.0,13.660065211578043
noise_20,80,2,estimated_waterfill,50.92409447353355,-14.046131082352495,32.88045393486704,37,17.924663489318156,13.660065211578043
noise_20,80,2,reserve_20,56.05151665873625,-8.918708897149799,27.753031749664345,48,27.316905818244354,13.660065211578043
noise_20,80,2,latent_oracle,83.80454840840059,18.834322852514546,0.0,51,21.732700813569203,13.660065211578043
biased_underserved,20,2,uniform,22.133909001018,0.0,20.842663548649856,80,5.0,13.660065211578043
biased_underserved,20,2,estimated_waterfill,37.78955197815427,15.65564297713627,5.187020571513585,20,0.0,13.660065211578043
biased_underserved,20,2,reserve_20,37.7026437191821,15.568734718164098,5.273928830485758,13,4.000000000000001,13.660065211578043
biased_underserved,20,2,latent_oracle,42.97657254966786,20.842663548649856,0.0,16,4.921221116983523,13.660065211578043
biased_underserved,80,2,uniform,64.97022555588605,0.0,18.834322852514546,80,20.0,13.660065211578043
biased_underserved,80,2,estimated_waterfill,74.6869073708997,9.716681815013658,9.117641037500889,50,2.1989731367150576,13.660065211578043
biased_underserved,80,2,reserve_20,77.55217942971073,12.581953873824688,6.252368978689859,60,16.000000000000004,13.660065211578043
biased_underserved,80,2,latent_oracle,83.80454840840059,18.834322852514546,0.0,51,21.732700813569203,13.660065211578043
blindspot_ignored,20,2,uniform,18.020577078361615,0.0,19.768974899792656,80,5.0,38.587699599859825
blindspot_ignored,20,2,estimated_waterfill,34.64181834646854,16.621241268106925,3.147733631685732,16,4.921221116983523,38.587699599859825
blindspot_ignored,20,2,reserve_20,31.70711861894651,13.686541540584894,6.082433359207762,15,7.297526391976569,38.587699599859825
blindspot_ignored,20,2,latent_oracle,37.78955197815427,19.768974899792656,0.0,20,0.0,38.587699599859825
